Bubble,Age,Score,Race,LogBubble
381,64,0.908136483,White,2.580924976
27,65,0.888888889,Asian,1.431363764
73,65,0.917808219,Black,1.86332286
8,65,0.375,Multiple,0.903089987
4,65,2.25,Native American,0.602059991
422,65,0.848341232,White,2.625312451
17,66,1.882352941,Asian,1.230448921
88,66,0.659090909,Black,1.944482672
23,66,1.173913043,Multiple,1.361727836
5,66,1.8,Native American,0.698970004
408,66,0.845588235,White,2.610660163
23,67,1.347826087,Asian,1.361727836
72,67,0.611111111,Black,1.857332496
4,67,0.75,Multiple,0.602059991
4,67,1.25,Native American,0.602059991
461,67,0.761388286,White,2.663700925
23,68,0.52173913,Asian,1.361727836
63,68,0.492063492,Black,1.799340549
7,68,1.142857143,Multiple,0.84509804
2,68,0.5,Native American,0.301029996
435,68,0.774712644,White,2.638489257
20,69,0.7,Asian,1.301029996
42,69,0.738095238,Black,1.62324929
11,69,1.636363636,Multiple,1.041392685
6,69,0.666666667,Native American,0.77815125
342,69,0.736842105,White,2.534026106
16,70,0.625,Asian,1.204119983
58,70,0.827586207,Black,1.763427994
3,70,1.333333333,Multiple,0.477121255
3,70,1.333333333,Native American,0.477121255
329,70,0.790273556,White,2.517195898
16,71,1.125,Asian,1.204119983
54,71,0.777777778,Black,1.73239376
5,71,1,Multiple,0.698970004
7,71,1.571428571,Native American,0.84509804
378,71,0.801587302,White,2.5774918
18,72,1,Asian,1.255272505
51,72,0.921568627,Black,1.707570176
5,72,1.8,Multiple,0.698970004
3,72,0,Native American,0.477121255
331,72,0.70694864,White,2.519827994
17,73,1.058823529,Asian,1.230448921
48,73,0.791666667,Black,1.681241237
8,73,0.125,Multiple,0.903089987
2,73,1,Native American,0.301029996
278,73,0.794964029,White,2.444044796
11,74,0.909090909,Asian,1.041392685
40,74,0.675,Black,1.602059991
9,74,1,Multiple,0.954242509
1,74,0,Native American,0
263,74,0.783269962,White,2.419955748
14,75,0.428571429,Asian,1.146128036
31,75,0.806451613,Black,1.491361694
4,75,2.25,Multiple,0.602059991
0,75,NA,Native American,#NUM!
269,75,0.620817844,White,2.42975228
9,76,1,Asian,0.954242509
32,76,1.125,Black,1.505149978
1,76,0,Multiple,0
0,76,NA,Native American,#NUM!
256,76,0.7578125,White,2.408239965
14,77,1.142857143,Asian,1.146128036
38,77,0.657894737,Black,1.579783597
6,77,0.5,Multiple,0.77815125
0,77,NA,Native American,#NUM!
232,77,0.737068966,White,2.365487985
11,78,2.909090909,Asian,1.041392685
38,78,0.815789474,Black,1.579783597
5,78,2.4,Multiple,0.698970004
2,78,2,Native American,0.301029996
218,78,0.605504587,White,2.338456494
10,79,1.6,Asian,1
27,79,1.296296296,Black,1.431363764
3,79,0.666666667,Multiple,0.477121255
2,79,0,Native American,0.301029996
204,79,0.637254902,White,2.309630167
14,80,0.714285714,Asian,1.146128036
30,80,0.733333333,Black,1.477121255
1,80,1,Multiple,0
1,80,0,Native American,0
209,80,0.727272727,White,2.320146286
9,81,1.222222222,Asian,0.954242509
29,81,0.620689655,Black,1.462397998
2,81,0,Multiple,0.301029996
1,81,10,Native American,0
187,81,0.983957219,White,2.271841607
4,82,1,Asian,0.602059991
14,82,1.285714286,Black,1.146128036
3,82,1.666666667,Multiple,0.477121255
4,82,0,Native American,0.602059991
158,82,0.670886076,White,2.198657087
3,83,1.333333333,Asian,0.477121255
28,83,0.964285714,Black,1.447158031
4,83,0.5,Multiple,0.602059991
0,83,NA,Native American,#NUM!
150,83,0.513333333,White,2.176091259
8,84,0.25,Asian,0.903089987
21,84,0.523809524,Black,1.322219295
3,84,0,Multiple,0.477121255
1,84,1,Native American,0
157,84,0.624203822,White,2.195899652
40,85,1.2,Asian,1.602059991
97,85,0.567010309,Black,1.986771734
10,85,1,Multiple,1
7,85,1.142857143,Native American,0.84509804
898,85,0.68596882,White,2.953276337
0,18,-1,Asian,#NUM!
3,18,-1,Black,0.477121255
1,18,-1,Multiple,0
0,18,-1,Native American,#NUM!
9,18,-1,White,0.954242509
4,19,-1,Asian,0.602059991
4,19,-1,Black,0.602059991
0,19,-1,Multiple,#NUM!
0,19,-1,Native American,#NUM!
4,19,-1,White,0.602059991
1,20,-1,Asian,0
3,20,-1,Black,0.477121255
0,20,-1,Multiple,#NUM!
0,20,-1,Native American,#NUM!
7,20,-1,White,0.84509804
2,21,-1,Asian,0.301029996
2,21,-1,Black,0.301029996
1,21,-1,Multiple,0
0,21,-1,Native American,#NUM!
9,21,-1,White,0.954242509
4,22,-1,Asian,0.602059991
4,22,-1,Black,0.602059991
0,22,-1,Multiple,#NUM!
0,22,-1,Native American,#NUM!
12,22,-1,White,1.079181246
0,23,-1,Asian,#NUM!
3,23,-1,Black,0.477121255
